,average_volume,pair,volume_rank
0,50264017.69622991,BNB/USDT,2.0
1,81114546.41554986,BTC/USDT,1.0
2,32876340.404229686,BNB/BTC,4.0
3,35410605.472756445,ETH/USDT,3.0
4,19340694.005841557,LTC/USDT,8.0
5,26415871.046160415,EOS/USDT,6.0
6,13737149.920795633,LTC/BTC,12.0
7,23101158.06970572,ETH/BTC,7.0
8,12837564.332618376,RVN/BTC,13.0
9,16356589.051155336,FET/USDT,9.0
10,13915437.963554835,XRP/USDT,11.0
11,15616372.723492704,FET/BTC,10.0
12,10962319.349560497,EOS/BTC,14.0
13,29070631.96561574,ENJ/BTC,5.0
14,9761712.461428989,XRP/BTC,15.0
15,1985487.2549698402,WABI/BTC,52.0
16,5631991.028753225,BTT/USDT,19.0
17,5835143.029028706,BTC/PAX,18.0
18,5582390.0245148325,TRX/USDT,20.0
19,3668182.127046417,ONT/USDT,34.0
20,4826584.460161398,TUSD/BTC,24.0
21,4913831.059938725,BCH/USDT,23.0
22,4780059.637997249,ICX/USDT,25.0
23,4121757.01319461,ONT/BTC,29.0
24,5467775.7261166815,TRX/BTC,21.0
25,1767455.3529237725,BCPT/BTC,60.0
26,2558072.9539390584,BNB/ETH,41.0
27,4026229.1224513333,TUSD/USDT,31.0
28,4032146.0520522017,FUEL/BTC,30.0
29,4970387.955081377,ICX/BTC,22.0
30,6085039.12956015,PHX/BTC,17.0
31,1228710.6360919815,IOST/BTC,82.0
32,2128137.4627141845,MTL/BTC,45.0
33,4388440.80807747,THETA/BTC,26.0
34,433601.2746767435,TNB/ETH,153.0
35,1655588.7865218997,TUSD/BNB,64.0
36,1562168.2552370243,STEEM/BTC,66.0
37,1404001.5337830184,XRP/BNB,72.0
38,2577705.014385777,APPC/BTC,40.0
39,4386793.607806741,WAVES/BTC,27.0
40,2744561.780342203,BCH/BTC,38.0
41,3765476.8715250003,NEO/USDT,33.0
42,2675159.640992142,BTT/BTC,39.0
43,1361686.4688933704,LTC/BNB,75.0
44,3361467.989885,ADA/USDT,36.0
45,2026713.559084072,GO/BTC,48.0
46,3378157.698699789,ADA/BTC,35.0
47,1818121.7950637585,FET/BNB,57.0
48,1769316.9024794998,ETC/USDT,59.0
49,2337400.284431,PAX/USDT,43.0
50,1698935.479577582,XMR/BTC,62.0
51,853614.6349384399,REN/BTC,104.0
52,2010651.1405698468,ZRX/BTC,50.0
53,545954.5096930593,EVX/BTC,134.0
54,2452585.5384636843,LINK/BTC,42.0
55,1629850.9924046667,USDC/USDT,65.0
56,4268766.164615757,BAT/BTC,28.0
57,3875791.3059105333,XLM/BTC,32.0
58,1861724.6449995202,MITH/BTC,55.0
59,1393525.2600153221,FUEL/ETH,73.0
60,1009991.2830909888,EOS/BNB,94.0
61,2126531.5678701554,BTC/USDC,46.0
62,1454888.8374445417,VET/BTC,67.0
63,2017050.461204865,HOT/BTC,49.0
64,769186.2550781184,DLT/BTC,111.0
65,2933563.01699375,XLM/USDT,37.0
66,2234002.0818922753,NEO/BTC,44.0
67,961487.4279193332,IOTA/USDT,98.0
68,1819151.4781975953,MDA/BTC,56.0
69,2029564.4321522417,BSV/USDT,47.0
70,1105317.8034141508,BTT/BNB,90.0
71,1067657.5102531668,EOS/TUSD,92.0
72,1159566.8042620255,ARN/BTC,85.0
73,0.0,PAX/BTC,441.0
74,1281360.243964,VET/USDT,80.0
75,1358688.2297440127,ELF/BTC,76.0
76,771844.8515172853,MTH/BTC,110.0
77,1351310.4391861674,IOTX/BTC,78.0
78,920134.7352805935,IOTA/BTC,101.0
79,328562.54184982495,LTC/USDC,174.0
80,1285780.370376785,WTC/BTC,79.0
81,1106657.5369136983,DASH/BTC,89.0
82,1371555.0319610336,ETH/PAX,74.0
83,692815.1842331255,RVN/BNB,116.0
84,1073388.4303500615,ZEC/BTC,91.0
85,699925.0562748974,TRX/BNB,114.0
86,7823752.861826579,KNC/BTC,16.0
87,557119.1244051683,LUN/BTC,131.0
88,1993198.0168333482,ENJ/ETH,51.0
89,1414001.8625949677,ZIL/BTC,71.0
90,962340.757574004,EOS/ETH,97.0
91,1432660.653096033,QKC/BTC,68.0
92,828236.1089462746,ETC/BTC,106.0
93,1113563.9625097876,NANO/BTC,88.0
94,1174254.6470301205,MFT/BTC,84.0
95,1414022.3199500078,LOOM/BTC,70.0
96,1426883.3477780502,BSV/BTC,69.0
97,292532.08387842803,POA/BTC,190.0
98,966873.9411870665,HOT/USDT,96.0
99,454855.73507641675,BNB/USDC,144.0
100,1187309.612153246,TNB/BTC,83.0
101,449288.2404340834,BNB/PAX,147.0
102,684706.9205751625,POWR/BTC,119.0
103,474525.23575528106,LTC/ETH,140.0
104,816710.6124978795,SKY/BTC,107.0
105,844517.3056071276,HOT/ETH,105.0
106,893852.927627054,XRP/ETH,103.0
107,797598.1700793015,AE/BTC,108.0
108,1233800.9421390428,DOCK/BTC,81.0
109,1875940.2087000199,XVG/BTC,54.0
110,942381.252338275,OMG/BTC,99.0
111,738853.5745730492,ONG/BTC,113.0
112,582819.5162358916,LTC/TUSD,128.0
113,1125326.3752593386,NPXS/BTC,87.0
114,603947.6611937474,VIB/BTC,126.0
115,311889.4150441442,ADX/BTC,185.0
116,351346.0746008709,ARK/BTC,170.0
117,576333.5608009606,KMD/BTC,130.0
118,1036311.1956639279,POLY/BTC,93.0
119,1788320.7281656135,ENJ/BNB,58.0
120,596350.9574359924,GVT/BTC,127.0
121,1889390.352811671,WAN/BTC,53.0
122,925372.4959656858,AION/BTC,100.0
123,985046.0888506739,GRS/BTC,95.0
124,666154.0365162416,WPR/BTC,121.0
125,467900.6547623333,ETH/USDC,142.0
126,919983.7965765387,BQX/BTC,102.0
127,622103.4878860897,SNGLS/BTC,125.0
128,1695334.0073131316,MANA/BTC,63.0
129,692443.5134074066,QLC/BTC,117.0
130,551065.8532394172,TRX/ETH,133.0
131,378297.1728980833,WAVES/USDT,166.0
132,580290.2512321924,NXS/BTC,129.0
133,344513.90059347585,GXS/BTC,172.0
134,422028.38454087294,REP/BTC,155.0
135,318119.5135376667,ZRX/USDT,179.0
136,450874.6215527053,VIBE/BTC,146.0
137,682649.5583149196,STORM/BTC,120.0
138,783059.1524447127,XEM/BTC,109.0
139,527363.1119641179,STRAT/BTC,137.0
140,264854.762411586,ADA/BNB,200.0
141,180350.29007433561,SYS/BTC,223.0
142,421214.06561042677,LSK/BTC,156.0
143,553917.256323729,BLZ/BTC,132.0
144,216155.44321819686,GNT/BTC,213.0
145,383908.070231,EOS/USDC,164.0
146,694944.6305140891,TUSD/ETH,115.0
147,346846.1985781987,THETA/BNB,171.0
148,529551.3751059166,ONG/USDT,136.0
149,1355418.1702707727,AST/BTC,77.0
150,315531.754166131,PPT/BTC,182.0
151,283558.55177485454,XLM/BNB,193.0
152,420061.15023753134,OAX/BTC,157.0
153,395391.57291441667,BAT/USDT,162.0
154,180490.77006996304,HOT/BNB,222.0
155,405822.94513444294,GTO/BTC,159.0
156,241124.6598257016,ONT/BNB,206.0
157,633407.4043585724,OST/BTC,123.0
158,435037.8127327501,QTUM/USDT,152.0
159,452312.8562347868,FUN/BTC,145.0
160,160951.9186779094,ARDR/BTC,236.0
161,486204.061306099,NPXS/ETH,138.0
162,444255.0909121496,STORJ/BTC,148.0
163,237584.04113236515,NAS/BTC,207.0
164,542957.5415397788,LEND/BTC,135.0
165,478522.14516593865,QTUM/BTC,139.0
166,472510.11852239986,TRX/XRP,141.0
167,398042.53419441916,THETA/ETH,161.0
168,287540.9743944167,XRP/TUSD,191.0
169,313432.0051278104,MCO/BTC,183.0
170,303997.58095629304,BCD/BTC,188.0
171,273540.7144376322,VET/ETH,197.0
172,62502.805082583385,WABI/BNB,284.0
173,244073.59719698504,AGI/BTC,205.0
174,271126.63846,USDC/PAX,199.0
175,419048.94815550005,LINK/USDT,158.0
176,629633.6555334959,CMT/BTC,124.0
177,685604.7462519839,RCN/BTC,118.0
178,740745.4762643044,DENT/BTC,112.0
179,99624.60162130946,WABI/ETH,261.0
180,189291.5932673422,ONT/ETH,221.0
181,325302.77767963643,INS/BTC,175.0
182,439979.9393837568,LRC/BTC,150.0
183,216565.20467946134,SNT/BTC,212.0
184,272876.19219286076,RDN/BTC,198.0
185,205182.76014293334,BCH/TUSD,217.0
186,306121.3918818727,ICX/ETH,187.0
187,176807.45164100453,NEO/BNB,226.0
188,247095.00303934116,SC/BTC,203.0
189,165105.78192373656,DCR/BTC,233.0
190,460736.07904808386,KEY/BTC,143.0
191,251260.03484975,EOS/PAX,202.0
192,55243.93505319653,BCPT/BNB,298.0
193,168117.42638829353,XZC/BTC,231.0
194,368214.1290136825,AMB/BTC,167.0
195,316336.1535938574,ADA/ETH,180.0
196,88991.39348177267,EVX/ETH,268.0
197,217011.32955346687,RLC/BTC,210.0
198,174044.7368454769,ICX/BNB,228.0
199,309163.28032833,DGD/BTC,186.0
200,190405.98311275,USDS/PAX,220.0
201,175867.08524046492,APPC/ETH,227.0
202,383113.0802919777,POE/BTC,165.0
203,279603.5469353333,TRX/TUSD,195.0
204,312596.6691608854,PIVX/BTC,184.0
205,320377.0333270949,BAT/BNB,177.0
206,1143088.0368268285,NULS/BTC,86.0
207,443226.6105075484,CDT/BTC,149.0
208,436511.5516249552,HC/BTC,151.0
209,280983.9991840833,ZIL/USDT,194.0
210,123142.54172362595,VET/BNB,251.0
211,646354.0206602586,KNC/ETH,122.0
212,193053.14426148476,BTG/BTC,219.0
213,91611.42556666095,STEEM/ETH,267.0
214,319160.2967793048,YOYOW/BTC,178.0
215,136449.84102428335,LTC/PAX,245.0
216,168720.15620758335,USDC/TUSD,230.0
217,160956.76662575002,XRP/USDC,235.0
218,398237.9514098512,BAT/ETH,160.0
219,217606.37732216282,BTS/BTC,209.0
220,252057.75122010903,DNT/BTC,201.0
221,315923.11216322624,TNT/BTC,181.0
222,365725.2244318333,XRP/PAX,169.0
223,433021.7257905905,ENG/BTC,154.0
224,76246.04892041265,XMR/ETH,274.0
225,149724.78926991668,ADA/TUSD,241.0
226,61511.631432342656,STEEM/BNB,285.0
227,56040.74945492038,BCPT/ETH,295.0
228,216678.2864091044,NCASH/BTC,211.0
229,106739.1004572751,IOTA/ETH,258.0
230,109910.03693866667,USDS/USDC,253.0
231,158319.94303681477,EDO/BTC,238.0
232,160711.75582199998,PAX/TUSD,237.0
233,205464.35496552187,GAS/BTC,216.0
234,206353.25336819363,PHX/ETH,215.0
235,330361.96492562717,XLM/ETH,173.0
236,142833.70240791698,ARN/ETH,242.0
237,213012.9231848192,CND/BTC,214.0
238,1756213.7168833101,BNT/BTC,61.0
239,55661.31108935233,IOST/ETH,297.0
240,171949.76854613502,BTC/USDS,229.0
241,57500.5376286465,IOTA/BNB,292.0
242,84491.07017316666,USDS/TUSD,271.0
243,196758.9401691911,CVC/BTC,218.0
244,231192.1368628406,LOOM/ETH,208.0
245,322123.6476061556,QSP/BTC,176.0
246,84154.50811893637,WAVES/BNB,272.0
247,40324.29707298497,ONG/BNB,316.0
248,129892.83699753415,ZIL/ETH,248.0
249,167437.72975110245,NEO/ETH,232.0
250,161683.47830291055,MFT/ETH,234.0
251,140115.6436399809,ZEN/BTC,243.0
252,66778.69011710271,ETC/BNB,279.0
253,96811.47563197518,NAV/BTC,264.0
254,285095.5452509231,REQ/BTC,192.0
255,39611.44973571404,REP/BNB,318.0
256,366360.21408419654,BRD/BTC,168.0
257,94144.07768251411,WAVES/ETH,266.0
258,85118.19985500125,SKY/BNB,269.0
259,246851.5095405,NEO/TUSD,204.0
260,37849.15719276142,DLT/ETH,322.0
261,158002.36303581193,OMG/ETH,239.0
262,108154.8409840913,ELF/ETH,255.0
263,275443.25832532934,DATA/BTC,196.0
264,179788.4331813599,NEBL/BTC,224.0
265,392558.74224958336,NULS/USDT,163.0
266,114030.32954563573,ETC/ETH,252.0
267,106647.00125112431,ZRX/ETH,259.0
268,178498.43632364972,LINK/ETH,225.0
269,59641.985921489824,ZIL/BNB,290.0
270,75906.51857884806,AE/ETH,275.0
271,137290.4577381555,PHX/BNB,244.0
272,33623.33148678652,XZC/XRP,332.0
273,67706.77462785903,VIB/ETH,277.0
274,99416.71924881685,LOOM/BNB,262.0
275,61126.82712536206,IOTX/ETH,286.0
276,66727.5997318054,APPC/BNB,280.0
277,59031.495890144055,GXS/ETH,291.0
278,49893.00720777282,REP/ETH,304.0
279,17009.83299361344,DLT/BNB,386.0
280,107132.78171175002,WAVES/TUSD,256.0
281,106935.14286203623,ZEC/ETH,257.0
282,60076.17124271936,SKY/ETH,288.0
283,109129.82155300242,SNM/BTC,254.0
284,37569.50990417916,XEM/BNB,324.0
285,33839.487351779186,NANO/BNB,331.0
286,29717.503715615676,MCO/ETH,340.0
287,34436.0137188753,MTH/ETH,330.0
288,59808.49212166897,GO/BNB,289.0
289,71478.22121429817,DASH/ETH,276.0
290,29790.992755466974,LUN/ETH,339.0
291,21459.99415087935,POA/ETH,370.0
292,94954.15661394135,MDA/ETH,265.0
293,34479.33787924978,ZRX/BNB,329.0
294,76740.51842538672,DENT/ETH,273.0
295,22662.721319343716,REN/BNB,363.0
296,45777.840315313726,KMD/ETH,307.0
297,25466.077183170808,ARK/ETH,354.0
298,15385.14787176969,WTC/BNB,393.0
299,27820.806943583335,BNB/USDS,346.0
300,123907.8124318462,WAN/ETH,250.0
301,42175.147953870044,POWR/ETH,315.0
302,36699.787919797476,WTC/ETH,327.0
303,26799.450389236732,DCR/BNB,349.0
304,22820.60975262758,ADX/ETH,362.0
305,0.0,USDC/BTC,441.0
306,22899.64324560834,BCH/USDC,361.0
307,153786.49526513094,VIA/BTC,240.0
308,56560.166348086634,MITH/BNB,293.0
309,66459.89899797298,NANO/ETH,281.0
310,36714.9955468013,QTUM/ETH,326.0
311,55878.559233750006,USDS/USDT,296.0
312,134151.67990166703,MANA/ETH,246.0
313,18763.73070464934,MFT/BNB,378.0
314,25317.324176484075,GNT/ETH,355.0
315,43787.34238129868,BLZ/ETH,312.0
316,99184.94327463002,XVG/ETH,263.0
317,50822.74693059784,CMT/ETH,302.0
318,123937.67056133332,LINK/TUSD,249.0
319,48876.851140848354,RCN/ETH,306.0
320,51504.723061593664,DOCK/ETH,300.0
321,26056.533669501674,MTL/ETH,352.0
322,42440.815385888614,SNGLS/ETH,314.0
323,60848.87932444583,INS/ETH,287.0
324,103970.12939125001,XLM/USDC,260.0
325,64029.44316450714,QKC/ETH,283.0
326,23095.561282128063,SC/BNB,360.0
327,24297.30800571812,POE/ETH,358.0
328,44098.82485357846,POLY/BNB,309.0
329,30971.95867284448,DGD/ETH,337.0
330,7505.732420513751,POA/BNB,422.0
331,130977.46596300001,XLM/TUSD,247.0
332,56249.00964533982,AION/ETH,294.0
333,36549.618173431576,GRS/ETH,328.0
334,22550.23169534602,NCASH/ETH,364.0
335,20450.721665807872,AE/BNB,373.0
336,44857.12193546368,RDN/ETH,308.0
337,10818.449979238108,SYS/ETH,403.0
338,67085.79577764626,AST/ETH,278.0
339,37687.451861982954,XEM/ETH,323.0
340,50775.286703491896,STORM/ETH,303.0
341,28015.591060636434,WPR/ETH,345.0
342,7332.722043693134,SYS/BNB,423.0
343,25269.820825003157,GVT/ETH,356.0
344,44028.818549147945,LRC/ETH,310.0
345,66354.48716947006,WAN/BNB,282.0
346,10324.0986303629,ADX/BNB,407.0
347,17193.683235361943,AGI/ETH,385.0
348,28329.15810512788,NXS/ETH,343.0
